formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,avg_cache_size,max_cache_size,benchmark_kind,interval_len
1,(x < 0.5) and (x > -0.5),DelayedQuantitative,Incremental,online,20000,1,0.003682875000,0.000000184144,0.184144,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQuantitative,Incremental,online,20000,1,0.010250833000,0.000000512542,0.512542,104.578950,686,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQuantitative,Incremental,online,20000,1,0.009810875000,0.000000490544,0.490544,87.971850,152,general,100
1,(x < 0.5) and (x > -0.5),DelayedQualitative,Incremental,online,20000,1,0.003695750000,0.000000184787,0.184787,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQualitative,Incremental,online,20000,1,0.007982666000,0.000000399133,0.399133,2.689100,4,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQualitative,Incremental,online,20000,1,0.007555250000,0.000000377763,0.377763,2.872650,4,general,100
1,(x < 0.5) and (x > -0.5),EagerQualitative,Incremental,online,20000,1,0.003615917000,0.000000180796,0.180796,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",EagerQualitative,Incremental,online,20000,1,0.006792333000,0.000000339617,0.339617,2.692800,4,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",EagerQualitative,Incremental,online,20000,1,0.007167459000,0.000000358373,0.358373,2.872650,4,general,100
1,(x < 0.5) and (x > -0.5),Rosi,Incremental,online,20000,1,0.004241834000,0.000000212092,0.212092,0.000000,0,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",Rosi,Incremental,online,20000,1,10.051005125000,0.000502550256,502.550256,1111.325000,1202,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",Rosi,Incremental,online,20000,1,0.235636708000,0.000011781835,11.781835,87.971850,152,general,100
